Ivysaur,60,62,63,80,80,60,3,7,          //Formatierung der Datenbank :Name,HP;Attack,Defense,SpecialAttack,SpecialDefense,Initiative,Typ1,Typ2
Venusaur,80,82,83,100,100,80,3,7,
Charmander,39,52,43,60,50,65,1,1,
Charmeleon,58,64,58,80,65,80,1,1,
Charizard,78,84,78,109,85,100,1,9,
Squirtle,44,48,65,50,64,43,2,2,
Wartotle,59,63,80,65,80,58,2,2,
Blastoise,79,83,100,85,105,78,2,2,
Caterpie,45,30,35,20,20,45,11,11,
Metapod,50,20,55,25,25,30,11,11,
Butterfree,60,45,50,90,80,70,11,9,
Weedle,40,35,30,20,20,50,11,7,
Kakuna,45,25,50,25,25,35,11,7,
Beedrill,65,90,40,45,80,75,11,7,
Pidgey,40,45,40,35,35,56,0,9,
Pidgeotto,63,60,55,50,50,71,0,9,
Pigeot,83,80,75,70,70,101,0,9,
Rattata,30,56,35,25,35,72,0,0,
Raticate,55,81,60,50,70,97,0,0,
Spearow,40,60,30,31,31,70,0,9,
Fearow,65,90,65,61,61,100,0,9,
Ekans,35,60,44,40,54,55,7,7,
Arbok,60,95,69,65,79,80,7,7,
Pikachu,35,55,40,50,50,90,4,4,
Raichu,60,90,55,90,80,110,4,4,
Sanshrew,50,75,85,20,30,40,8,8,
Sandslash,75,100,110,45,55,65,8,8,
Nidoranf,55,47,52,40,40,41,7,7,
Nidorina,70,62,67,55,55,56,7,7,
Nidoqueen,90,92,87,75,85,76,7,8,
Nidoranm,46,57,40,40,40,50,7,7,
Nidorino,61,72,57,55,55,65,7,7,
Nidoking,81,102,77,85,75,85,7,8,
Clefairy,70,45,48,60,65,35,17,17,
Clefable,95,70,73,95,90,60,17,17,
Vulpix,38,41,40,50,65,65,1,1,
Ninetales,73,76,75,81,100,100,1,1,
Jigglypuff,115,45,20,45,25,20,0,17,
Wigglytuff,140,70,45,85,50,45,0,17,
Zubat,40,45,35,30,40,55,7,9,
Golbat,75,80,70,65,75,90,7,9,
Oddish,45,50,55,75,65,30,3,7,
Gloom,60,65,70,85,75,40,3,7,
Vileplume,75,80,85,110,90,50,3,7,
Paras,35,70,55,45,55,25,11,3,
Parasect,60,95,80,60,80,30,11,3,
Venonat,60,55,50,40,55,45,11,7,
Venomoth,70,65,60,90,75,90,11,7,
Diglett,10,55,25,35,45,95,8,8,
Dugtrio,35,100,50,50,70,120,8,8,
Meowth,40,45,35,40,40,90,0,0,
Persian,65,70,60,65,65,115,0,0,
Psyduck,50,52,48,65,50,55,2,2,
Golduck,80,82,78,95,80,85,2,2,
Mankey,40,80,35,35,45,70,6,6,
Primeape,65,105,60,60,70,95,6,6,
Growlithe,55,70,45,70,50,60,1,1,
Arcanine,90,110,80,100,80,95,1,1,
Poliwag,40,50,40,40,40,90,2,2,
Poliwhirl,65,65,65,50,50,90,2,2,
Poliwrath,90,95,95,70,90,70,2,6,
Abra,25,20,15,105,55,90,10,10,
Kadabra,40,35,30,120,70,105,10,10,
Alakazam,55,50,45,135,95,120,10,10,
Machop,70,80,50,35,35,35,6,6,
Machoke,80,100,70,50,60,45,6,6,
Machamp,90,130,80,65,85,55,6,6,
Bellsprout,50,75,35,70,30,40,3,7,
Weepinbell,65,90,50,85,45,55,3,7,
Victreebel,80,105,65,100,70,70,3,7,
Tentacool,40,40,35,50,100,70,2,7,
Tentacruel,80,70,65,80,120,100,2,7,
Geodude,40,80,100,30,30,20,12,8,
Graveler,55,95,115,45,45,35,12,8,
Golem,80,120,130,55,65,45,12,8,
Ponyta,50,85,55,65,65,90,1,1,
Rapidash,65,100,70,80,80,105,1,1,
Slowpoke,90,65,65,40,40,15,2,10,
Slowbro,95,75,110,100,80,30,2,10,
Magnemite,25,35,70,95,55,45,4,16,
Magneton,50,60,95,120,70,70,4,16,
Farfetch'd,52,65,55,58,62,60,0,9,
Doduo,35,85,45,35,35,75,0,9,
Dodrio,60,110,70,60,60,100,0,9,
Seel,65,45,55,45,70,45,2,2,
Dewgong,90,70,80,70,95,70,2,5,
Grimer,80,80,50,40,50,25,7,7,
Muk,105,105,75,65,100,50,7,7,
Shellder,30,65,100,45,25,40,2,2,
Cloyster,50,95,180,85,45,70,2,5,
Gastly,30,35,30,100,35,80,13,7,
Haunter,45,50,45,115,55,95,13,7,
Gengar,60,65,60,130,75,110,13,7,
Onix,35,45,160,30,45,70,12,8,
Drowzee,60,48,45,43,90,42,10,10,
Hypno,85,73,70,73,115,67,10,10,
Krabby,30,105,90,25,25,50,2,2,
Kingler,55,130,115,50,50,75,2,2,
Voltorb,40,30,50,55,55,100,4,4,
Electrode,60,50,70,80,80,150,4,4,
Exeggcute,60,40,80,60,45,40,3,10,
Exeggutor,95,95,85,125,65,55,3,10,
Cubone,50,50,95,40,50,35,8,8,
Marowak,60,80,110,50,80,45,8,8,
Hitmonlee,50,120,53,35,110,87,6,6,
Hitmonchan,50,105,79,35,110,76,6,6,
Lickitung,90,55,75,60,75,30,0,0,
Koffing,40,65,95,60,45,35,7,7,
Weezing,65,90,120,85,70,60,7,7,
Rhyhorn,80,85,95,30,30,25,8,12,
Rhydon,105,130,120,45,45,40,8,12,
Chansey,250,5,5,35,105,50,0,0,
Tangela,65,55,115,100,40,60,3,3,
Kangaskhan,105,95,80,40,80,90,0,0,
Horsea,30,40,70,70,25,60,2,2,
Seadra,55,65,95,95,45,85,2,2,
Goldeen,45,67,60,35,50,63,2,2,
Seaking,80,92,65,65,80,68,2,2,
Staryu,30,45,55,70,55,85,2,2,
Starmie,60,75,85,100,85,115,2,10,
Mr.Mime,40,45,65,100,120,90,10,17,
Scyther,70,110,80,55,80,105,11,9,
Jynx,65,50,35,115,95,95,5,10,
Electabuzz,65,83,57,95,85,105,4,4,
Magmar,65,95,57,100,85,93,1,1,
Pinsir,65,125,100,55,70,85,11,11,
Tauros,75,100,95,40,70,110,0,0,
Magikarp,20,10,55,15,20,80,2,2,
Gyarados,95,125,79,60,100,81,2,9,
Lapras,130,85,80,85,95,60,2,5,
Ditto,48,48,48,48,48,48,0,0,
Eevee,55,55,50,45,65,55,0,0,
Vaporeon,130,65,60,110,95,65,2,2,
Jolteon,65,65,60,110,95,130,4,4,
Flareon,65,130,60,95,110,65,1,1,
Porygon,65,60,70,85,75,40,0,0,
Omanyte,35,40,100,90,55,35,12,2,
Omastar,70,60,125,115,70,55,12,2,
Kabuto,30,80,90,55,45,55,12,2,
Kabutops,60,115,105,65,70,80,12,2,
Aerodactyl,80,105,65,60,75,130,12,9,
Snorlax,160,110,65,65,110,30,0,0,
Articuno,90,85,100,95,125,85,5,9,
Zapdos,90,90,85,125,90,100,4,9,
Moltres,90,100,90,125,85,90,1,9,
Dratini,41,64,45,50,50,50,14,14,
Dragonair,61,84,65,70,70,70,14,14,
Dragonite,91,134,95,100,100,80,14,9,
Mewtwo,106,110,90,154,90,130,10,10,
Mew,100,100,100,100,100,100,10,10,
